,Economic,Economic,Fighting,Fighting,Deduction,Deduction,Bluffing,Bluffing,Party Game,Party Game
,solo,unsolo,solo,unsolo,solo,unsolo,solo,unsolo,solo,unsolo
index,,,,,,,,,,
Total Num of Games,23,65,21,48,3,19,0,47,1,17
Game with Highest Num of Ratings,Agricola,Puerto Rico,Gloomhaven,Small World,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Codenames,NA,Citadels,Jenga,Dixit
Avg Rating,7.95,7.49,7.52,7.4,7.84,7.28,NA,7.12,5.58,6.54
Avg Playtime,126.52,105.92,113.33,103.75,110,55.89,NA,68.19,20,36.18
